Zona Eleitoral;Código Município TSE;Município;Bairro;Endereço do Local;CEP do Local;Número do Local;Local de Votação;Seções;Eleitores aptos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BELFORT ROXO, 433,;22020010;1546;CENTRO DE ESTUDOS DE JOVENS E ADULTOS (CEJA) - BR 433;3;759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BELFORT ROXO, 433,;22020010;1619;COLEGIO ESTADUAL INFANTE DOM HENRIQUE - BRO 433;15;4692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA TONELERO, 56,;22030002;1643;COLÉGIO SAGRADO CORAÇÃO DE MARIA - T 56;12;4698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;PRAÇA BERNARDELLI (LIDO), S/N,;22020030;1732;ESCOLA MUNICIPAL ROMA - PÇ LIDO;19;7152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;LEME;AV. NOSSA SENHORA DE COPACABANA, 44-A,;22010122;1953;BANCO ITAÚ - NSC 44;2;759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;LEME;RUA GUSTAVO SAMPAIO, 74,;22010010;1988;LEME TENIS CLUBE - GS 74;9;4330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;LEME;PRAÇA ALMIRANTE JULIO DE NORONHA, S/N,;22010020;2003;ESCOLA MUNICIPAL SÃO TOMAS DE AQUINO - PÇ AJN;19;6173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 1018-A,;22060000;2011;BANCO BRADESCO - NSC 1018;4;1797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BARAO DE IPANEMA, 34,;22050030;2038;ESCOLA MUNICIPAL DOUTOR CÓCIO BARCELLOS - BI 34;15;5236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA SIQUEIRA CAMPOS, 96,;22031090;2046;BANCO BRADESCO - SCA 96;4;1830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 594,;22050000;2054;BANCO DO BRASIL - NSC 594;8;2172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA SIQUEIRA CAMPOS, 143,;22031070;2062;BANCO ITAÚ - SCA 143;2;752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA,  599,;22050002;2070;BANCO SANTANDER - NSC 599;4;1212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BARATA RIBEIRO, 204,;22011002;2089;ESCOLA MUNICIPAL DOM AQUINO CORREA - BR 204;3;941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 437,;22031000;2097;EXTERNATO SANTO ANTÔNIO - NSC 437;6;1340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA CINCO DE JULHO, 254,;22051030;2100;INSTITUTO DE EDUCAÇÃO GALILEU GALILEI - CJ 254;5;2045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA HENRIQUE OSWALD, 155;22041020;2119;CRECHE CRIATIVA - HO 155;4;1813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BARATA RIBEIRO, 222,;22040000;2127;CAIXA ECONÔMICA FEDERAL - BR 222;5;1625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA TENREIRO ARANHA, S/N,;22031090;2135;CENTRO MUNICIPAL DE SAÚDE JOÃO BARROS BARRETO - TA;3;1242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA CONSTANTE RAMOS, 29,;22051010;2143;BANCO BRADESCO - CR 29;4;1819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AVENIDA NOSSA SENHORA DE COPACABANA, 581;22031000;2151;BANCO BRADESCO - NSC 581;3;1169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA DIAS DA ROCHA, 80,;22040040;2160;CENTRO ESCOLAR COPACABANA - DR 80;3;966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA RAIMUNDO CORREA, 20,;22040040;2178;INSS - RC 20;4;1513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 581-A,;22031000;2194;BANCO ITAÚ - NSC 581;3;1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 709,;22050000;2208;BANCO BRADESCO - NSC 709;6;2576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 862;22060001;2216;BANCO SANTANDER - NSC 862;4;1074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 1032;22060002;2259;INSS - NSC 1032;5;1449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 921,;22060002;2267;BANCO ITAÚ - NSC 921;4;1145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA POMPEU LOUREIRO, 116,;22061000;2275;CLUBE OLYMPICO - PL 116;7;3118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA SIQUEIRA CAMPOS, 143,;22031070;2283;BANCO DO BRASIL - SCA 143;3;1203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA SIQUEIRA CAMPOS, 34,;22031070;2291;CAIXA ECONOMICA FEDERAL - SCA 34;3;1242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA REPÚBLICA DO PERU, 104,;22021040;2305;COLÉGIO ESTADUAL PEDRO ÁLVARES CABRAL - RP 104;11;3528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA HILÁRIO DE GOUVEIA, 43,;22040020;2313;COLÉGIO PINHEIRO GUIMARÃES - HG 43;2;694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. ATLÂNTICA, 1976,;22021001;2321;ESCOLA MUNICIPAL DOUTOR CÍCERO PENNA - A 1976;11;2830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA HILARIO DE GOUVEIA, 36,;22040020;2330;IGREJA NOSSA SENHORA DE COPACABANA - HG 36;6;2210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 890;22060002;2348;BANCO DO BRASIL - NSC 890 - ANTIGO BRADESCO;3;810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BARATA RIBEIRO, 573,;22051000;2356;BANCO ITAÚ - BR 573;2;758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 804,;22050000;2364;BANCO SANTANDER - NSC 804;3;1070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA CINCO DE JULHO, 82,;22051030;2372;CRECHE PRIMEIRA CLASSE - CJ 82;5;2340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA DOMINGOS FERREIRA, 160,;22050010;2380;SESC - DF 160;8;3067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 890,;22060002;2399;BANCO DO BRASIL - NSC 890;7;2059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
